date,district,crop_type,temperature_c,humidity_pct,rainfall_mm,evapotranspiration_mm,canal_flow_cusecs,soil_moisture_pct,sensor_fault_type,was_imputed,month,day_of_year,irrigation_recommendation_mm
2022-07-02,Lahore,rice,37.72,66.66,9.83,5.24,480.6,27.26,none,0,7,183,9.8
2022-07-03,Lahore,wheat,39.11,62.49,74.94,4.18,483.0,27.26,missing_sensor,1,7,184,0.0
2022-07-04,Lahore,sugarcane,36.55,68.01,4.58,4.75,454.6,25.51,none,0,7,185,12.9
2022-07-05,Lahore,sugarcane,33.4,66.05,10.04,3.38,460.4,26.31,none,0,7,186,8.2
2022-07-06,Lahore,cotton,34.55,69.08,30.28,4.73,532.7,31.49,none,0,7,187,0.0
2022-07-07,Lahore,wheat,35.8,70.9,22.16,4.12,482.7,28.8,none,0,7,188,2.1
2022-07-08,Lahore,sugarcane,36.15,67.14,10.73,3.56,471.5,17.91,none,0,7,189,15.7
2022-07-09,Lahore,wheat,36.32,71.07,14.36,3.63,523.3,29.16,none,0,7,190,4.2
2022-07-10,Lahore,maize,36.92,57.33,25.88,5.06,499.7,30.23,none,0,7,191,0.5
2022-07-11,Lahore,wheat,36.33,73.24,9.61,4.31,508.5,28.21,none,0,7,192,7.9
2022-07-12,Lahore,wheat,38.3,68.55,1.92,4.28,494.6,28.21,missing_sensor,1,7,193,10.9
2022-07-13,Lahore,maize,35.64,71.53,3.88,3.79,492.7,31.19,none,0,7,194,6.8
2022-07-14,Lahore,wheat,35.28,62.51,12.37,4.55,498.2,27.75,none,0,7,195,7.5
2022-07-15,Lahore,wheat,37.21,64.24,0.82,4.44,473.1,26.02,none,0,7,196,13.5
2022-07-16,Lahore,rice,34.1,68.32,16.65,3.05,504.3,32.36,none,0,7,197,0.0
2022-07-17,Lahore,maize,36.9,67.84,1.32,3.74,515.0,27.48,none,0,7,198,11.1
2022-07-18,Lahore,wheat,36.38,69.21,6.48,4.11,552.1,24.79,none,0,7,199,11.9
2022-07-19,Lahore,wheat,35.91,72.59,16.03,4.37,514.5,20.58,none,0,7,200,12.2
2022-07-20,Lahore,sugarcane,38.42,61.36,2.99,5.5,462.1,22.21,none,0,7,201,17.5
2022-07-21,Lahore,maize,35.0,72.49,11.3,4.02,514.5,29.85,none,0,7,202,5.3
2022-07-22,Lahore,rice,38.92,68.8,86.58,4.54,580.3,38.54,none,0,7,203,0.0
2022-07-23,Lahore,wheat,35.39,68.12,1.07,4.28,540.1,28.66,none,0,7,204,10.8
2022-07-24,Lahore,wheat,33.7,63.22,15.22,3.56,504.3,28.66,missing_sensor,1,7,205,4.2
2022-07-25,Lahore,wheat,35.61,71.29,16.72,3.7,537.8,33.06,none,0,7,206,0.0
2022-07-26,Lahore,wheat,33.78,59.79,17.07,3.66,509.8,27.84,none,0,7,207,4.4
2022-07-27,Lahore,sugarcane,34.14,72.22,46.32,2.89,497.9,35.13,none,0,7,208,0.0
2022-07-28,Lahore,wheat,35.75,63.82,19.59,4.34,522.4,30.13,none,0,7,209,2.2
2022-07-29,Lahore,rice,35.86,70.18,51.48,3.96,534.2,38.55,none,0,7,210,0.0
2022-07-30,Lahore,sugarcane,33.97,69.65,10.87,3.96,491.8,38.55,stuck_sensor,1,7,211,0.0
2022-07-31,Lahore,rice,36.25,74.98,11.31,3.96,509.9,26.16,none,0,7,212,8.6
2022-08-01,Lahore,wheat,36.37,69.75,56.74,4.09,537.7,37.31,none,0,8,213,0.0
2022-08-02,Lahore,maize,36.66,67.86,14.65,4.38,530.1,32.61,none,0,8,214,2.0
2022-08-03,Lahore,sugarcane,35.16,68.78,5.24,3.81,549.9,28.31,none,0,8,215,8.9
2022-08-04,Lahore,sugarcane,36.27,76.06,22.94,3.84,515.4,28.64,none,0,8,216,1.5
2022-08-05,Lahore,wheat,31.26,73.28,15.84,2.66,560.4,32.93,none,0,8,217,0.0
2022-08-06,Lahore,wheat,33.46,69.75,20.32,3.72,519.4,31.96,none,0,8,218,0.0
2022-08-07,Lahore,maize,32.49,70.51,14.6,3.68,584.6,28.75,none,0,8,219,4.6
2022-08-08,Lahore,cotton,33.82,65.35,29.27,3.47,510.6,31.78,none,0,8,220,0.0
2022-08-09,Lahore,wheat,32.63,73.34,7.66,3.25,526.2,31.64,none,0,8,221,4.2
2022-08-10,Lahore,cotton,33.08,64.91,3.02,3.4,561.7,33.61,none,0,8,222,4.5
2022-08-11,Lahore,sugarcane,35.99,75.11,3.95,3.38,591.3,30.93,none,0,8,223,6.5
2022-08-12,Lahore,maize,32.76,72.78,19.94,2.71,562.4,31.39,none,0,8,224,0.0
2022-08-13,Lahore,wheat,33.47,81.97,15.61,3.55,569.4,29.66,none,0,8,225,3.2
2022-08-14,Lahore,maize,32.34,68.17,48.25,3.97,558.5,35.71,none,0,8,226,0.0
2022-08-15,Lahore,wheat,32.63,72.32,11.92,3.55,536.4,28.27,none,0,8,227,5.9
2022-08-16,Lahore,rice,32.36,80.08,5.06,3.84,549.8,28.11,none,0,8,228,9.2
2022-08-17,Lahore,rice,32.85,77.8,67.16,2.94,534.9,34.36,none,0,8,229,0.0
2022-08-18,Lahore,wheat,33.75,70.4,40.7,5.06,534.7,35.13,none,0,8,230,0.0
2022-08-19,Lahore,wheat,34.3,74.23,27.12,3.32,573.7,28.47,none,0,8,231,0.0
2022-08-20,Lahore,cotton,32.12,73.49,36.39,3.27,540.6,31.38,none,0,8,232,0.0
2022-08-21,Lahore,maize,32.36,74.75,8.35,2.92,574.2,29.82,none,0,8,233,5.1
2022-08-22,Lahore,rice,29.57,70.98,4.75,3.07,538.9,34.08,none,0,8,234,2.9
2022-08-23,Lahore,maize,30.98,73.56,6.44,3.39,576.0,27.49,none,0,8,235,8.6
2022-08-24,Lahore,maize,32.34,67.66,35.25,3.41,559.4,30.72,none,0,8,236,0.0
2022-08-25,Lahore,cotton,32.05,74.73,23.92,3.96,603.1,29.64,none,0,8,237,0.4
2022-08-26,Lahore,sugarcane,30.88,76.13,1.0,2.94,579.7,33.48,none,0,8,238,4.8
2022-08-27,Lahore,wheat,31.7,73.56,18.42,3.21,601.2,33.48,missing_sensor,1,8,239,0.0
2022-08-28,Lahore,wheat,30.92,68.14,5.49,2.78,557.3,25.91,none,0,8,240,9.6
2022-08-29,Lahore,maize,31.79,78.69,52.84,3.04,576.4,44.3,none,0,8,241,0.0
2022-08-30,Lahore,sugarcane,30.24,76.32,24.82,2.65,554.0,33.66,none,0,8,242,0.0
2022-08-31,Lahore,wheat,29.07,72.09,17.8,2.45,567.5,28.01,none,0,8,243,2.4
2022-09-01,Lahore,rice,29.92,73.99,12.49,2.4,571.7,30.54,none,0,9,244,2.1
2022-09-02,Lahore,rice,24.82,69.24,3.37,3.6,562.0,27.99,none,0,9,245,9.6
2022-09-03,Lahore,maize,29.6,71.26,19.69,2.74,551.7,33.51,time_skew,0,9,246,0.0
2022-09-04,Lahore,rice,23.35,73.33,12.29,1.11,547.9,37.1,none,0,9,247,0.0
2022-09-05,Lahore,cotton,26.04,80.51,28.98,1.53,527.7,34.38,none,0,9,248,0.0
2022-09-06,Lahore,cotton,29.1,73.16,6.61,2.68,557.2,27.57,none,0,9,249,7.5
2022-09-07,Lahore,cotton,28.94,78.39,17.73,2.69,595.6,33.97,none,0,9,250,0.0
2022-09-08,Lahore,sugarcane,26.28,73.79,1.74,2.53,546.0,26.3,none,0,9,251,10.4
2022-09-09,Lahore,maize,26.75,77.04,3.76,2.5,551.7,25.75,none,0,9,252,10.1
2022-09-10,Lahore,cotton,29.67,75.59,3.61,2.35,623.2,25.14,none,0,9,253,10.5
2022-09-11,Lahore,wheat,26.69,79.75,7.05,2.19,569.0,25.34,none,0,9,254,8.7
2022-09-12,Lahore,wheat,30.57,74.22,32.53,2.44,590.8,31.33,none,0,9,255,0.0
2022-09-13,Lahore,sugarcane,27.0,70.17,10.14,2.23,598.4,27.5,none,0,9,256,5.6
2022-09-14,Lahore,maize,27.41,71.03,12.08,2.1,599.1,32.42,none,0,9,257,0.2
2022-09-15,Lahore,wheat,29.02,74.52,1.35,2.03,550.2,25.37,none,0,9,258,10.8
2022-09-16,Lahore,wheat,26.59,71.75,9.71,2.93,579.4,20.39,none,0,9,259,13.1
2022-09-17,Lahore,rice,24.68,78.47,10.65,2.12,548.4,27.1,none,0,9,260,5.6
2022-09-18,Lahore,wheat,25.81,75.06,6.66,2.61,639.9,29.51,none,0,9,261,5.7
2022-09-19,Lahore,maize,25.72,86.5,17.13,1.55,549.1,30.03,none,0,9,262,0.0
2022-09-20,Lahore,wheat,23.52,70.14,11.02,2.41,561.4,30.03,stuck_sensor,1,9,263,3.2
